F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
2,5,78.07,64.1,2,1,1.25,1.6,1.25,1,1,-0.46
1,NA,NA,NA,2,3,2,1.4,1.5,2,1,0.46
2,8,66.94,50.73,2,2,1.5,1,1.5,1,1,0
2,7,76.26,74.4,2,2,1.75,1,1.25,2,1,0.15
2,8,63.37,50.06,2,2,2,1.4,1.25,2,1,-0.27
NA,2,NA,NA,2,3,1.5,NA,NA,1,1,-0.29
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.63
2,6,94.85,72.41,2,2,1.5,2.2,2.25,2,1,-0.37
1,5,56.75,43.12,2,2,1.25,1.8,1.25,1,1,-0.43
1,0,44.19,25.73,4,4,2,1.4,2,1,1,-0.09
2,3,48.08,27.27,2,2,1.5,3.6,3,2,1,-0.28
-9,NA,NA,NA,3,2,2.25,NA,NA,2,1,-0.63
2,7,115.2,118.51,2,1,1.25,1.8,1.25,1,1,1.26
1,5,67.59,68.85,2,2,2.25,1,1.75,1,1,-0.38
1,3,79.17,50.58,2,2,1.25,1,1.25,2,1,-0.5
1,3,56.73,33.46,2,3,2,1.2,1.25,2,1,0.82
1,3,37.4,32.86,3,4,1.75,1.8,2.75,1,1,-0.64
2,9,63.17,55.76,2,1,1.25,2.2,1.75,1,1,-0.25
2,6,106.05,61.54,1,2,1.5,2,2,1,1,-0.11
2,4,57.9,61.43,2,2,1.25,1.4,2,1,1,-0.82
-9,6,33.95,19.64,2,3,2.25,1.2,1.75,2,1,-0.27
2,5,74.39,41.98,2,2,2,1.4,1.75,2,1,-0.55
2,5,76.24,55.11,2,2,1,1.2,1,2,1,-0.52
2,2,44.59,26.34,2,2,1.25,1,2.5,2,1,-1.36
2,4,62.67,53.1,3,2,2,2.8,2.25,1,1,-0.67
2,5,50.08,35.98,2,2,1.75,1.2,1.75,2,1,-1.1
1,2,38.92,44.75,-9,-9,NA,3.6,2,1,1,-0.64
2,8,83.5,50.76,2,2,1.75,1,1.75,2,1,-0.49
-9,4,NA,NA,2,3,2.5,NA,NA,1,1,-0.23
-9,6,NA,NA,1,1,1.75,NA,NA,2,1,0.33
2,5,75.58,48.29,2,2,1,1.2,2,2,1,-0.47
2,6,65.64,43.42,2,2,1.25,1.6,1.67,2,1,-0.16
-9,6,64.03,45.71,2,3,2.5,1.2,1.25,1,1,0.4
2,8,107.9,55.08,2,2,1.75,1,1.25,2,1,1.21
2,5,67.76,49.92,2,2,1,1.4,1.75,1,1,-0.25
2,4,48.5,40.58,3,2,1.5,1.6,1.75,1,1,-0.46
-9,6,NA,NA,2,2,1.25,NA,NA,2,1,-0.26
2,4,57.06,60.37,2,2,1.25,1.6,1.5,2,2,0.24
-9,5,NA,NA,2,2,1.25,NA,NA,1,1,0.11
2,3,50.8,46.07,NA,NA,NA,1,2,1,NA,NA
-9,8,75.32,49.14,2,2,1.75,1.6,1.75,2,1,-0.22
2,6,125.86,65.18,1,2,1.25,1.2,1.75,2,1,-0.15
2,5,77.72,93.52,3,1,1.75,2.2,1.75,1,1,-0.31
2,7,71.23,87.77,1,1,1.5,1,1.25,2,1,1.06
NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,5,78.96,56.15,2,2,2,2.4,2.25,2,1,0.2
2,6,66.46,55.63,2,2,1.75,3,1.25,1,1,-0.45
2,6,73.91,49.61,2,2,1,2,2,1,1,-0.11
1,8,70.62,54.24,2,3,1.25,2.6,2,2,1,-0.38
2,6,62.92,48.63,2,2,2,2.2,1.25,1,1,-0.07
2,4,60.76,53.65,2,2,1.25,1.8,2,1,1,-0.21
2,7,76.39,55.21,2,2,1.75,1.6,1.25,1,1,-0.48
2,7,88.77,90.66,1,2,2,1,1.25,1,1,-0.39
2,6,97.71,69.67,2,2,1.5,2,2.5,1,1,-0.03
NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0.63
2,6,78.22,56.66,3,3,2,1.4,1.75,2,1,0.12
2,4,75.8,44.55,2,2,2,2.4,2,1,1,-0.51
2,5,78.47,58.66,2,2,1.5,1.4,2.25,2,1,0.04
2,7,115.12,82.58,2,1,1.5,2,2,1,1,-0.08
2,6,83.3,45.08,1,1,1.5,1.2,1.5,2,1,0.27
2,4,38.32,33.13,2,2,1,1.6,1.25,1,1,-0.66
2,7,65.38,56.91,2,2,1.75,1.8,2,2,1,0.16
2,6,107.12,60.49,1,1,1.5,1.8,2.25,1,1,0.33
-9,8,101.05,68.45,2,2,1.75,1.4,1.5,2,1,1.37
-9,7,73.99,105.5,1,1,1.75,NA,NA,1,1,-0.03
NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
-9,9,125.72,105.19,1,1,1.5,NA,NA,2,1,0.2
-9,5,138.38,94.03,1,1,1.5,1,1,2,1,2.47
2,6,NA,NA,NA,NA,NA,NA,NA,1,1,0.52
-9,7,130.43,101.45,1,1,1.25,NA,NA,2,1,1.32
2,6,75.69,61.4,1,2,1.25,1,1,1,1,1.62
2,6,75.74,71.14,2,2,1.25,1.2,1.25,1,1,-0.27
2,2,65.43,45.81,2,2,1,1.2,1,2,1,-0.34
2,7,78.75,57.74,2,2,1.25,1,1,2,1,-0.46
NA,7,44.25,32.69,2,2,1.5,1.6,1.5,1,1,-0.44
2,2,70.6,52.61,2,2,2,2.4,1.25,1,2,-0.22
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0.21
2,5,63.55,68.64,2,1,1.5,1.2,1.5,1,1,-0.23
2,4,56.72,42.28,2,4,2,1.8,2,1,1,-0.35
-9,6,NA,NA,2,1,2,NA,NA,2,1,-0.74
2,8,60.86,60.43,2,2,1.25,1.8,1.25,1,1,0.07
2,NA,74.79,60.19,NA,NA,NA,1.2,2,2,1,-1.12
-9,4,NA,NA,2,2,1.25,NA,NA,2,1,-0.51
2,7,59.43,37.6,2,2,1,2,2,2,1,-0.54
2,9,148.15,88.35,2,2,2,3,1.75,1,1,-0.07
-9,8,124.48,75.21,3,2,2,NA,NA,1,NA,NA
-9,9,NA,NA,2,2,1.5,NA,NA,1,1,-0.34
NA,8,89.17,56.92,NA,NA,NA,2,2,1,1,-0.45
2,9,64.79,67.33,2,2,1.25,2.4,1.25,2,1,-0.03
2,7,82.04,82.47,NA,NA,NA,NA,NA,2,1,-0.47
NA,8,50.57,33.68,2,2,1.25,2,1.75,1,1,-0.87
1,3,46.49,23.55,NA,NA,NA,2.8,1,1,1,-1.15
-9,5,NA,NA,2,1,1.5,NA,NA,1,1,-0.33
2,8,66.76,63.39,1,2,1,1.2,1.25,2,1,-0.19
2,7,146.28,74.38,1,2,1.25,1.2,1,2,1,0.79
1,4,48.32,35.05,2,2,2,1.4,2,2,1,-0.64
1,1,49.66,49.24,2,3,1.5,NA,NA,1,1,-0.17
1,3,47.56,39.44,NA,NA,NA,2,2.25,1,1,-0.24
2,6,52.07,35.66,NA,NA,NA,2.6,2,1,NA,NA
2,7,59.6,63.25,2,2,1.5,1.2,1.25,1,1,-0.1
2,7,62.32,86.4,1,1,1.5,1,1.5,1,1,1
2,8,75.96,75.1,2,2,1.25,2,1.25,1,1,-0.42
NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,-0.73
NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,-1.11
2,6,63.63,44.42,1,2,1.5,1.4,1.25,2,1,-0.43
NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,-0.26
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.52
NA,3,40.12,46.62,3,3,2,2.2,2.25,2,1,-0.8
1,0,38.8,22.72,3,3,2,1.4,1.5,1,1,-0.75
2,8,51.33,38.99,1,2,1.75,2,1.25,1,1,-0.19
NA,7,43.69,29.99,3,3,1.75,2.4,2.75,1,1,-0.88
2,3,88.44,57.49,2,2,1.5,1.2,3.75,2,1,-0.12
2,4,77.87,57.6,2,2,2,1,2.25,1,1,0.11
2,8,106.02,69.9,2,1,1.25,1.2,1,2,1,-0.08
2,4,47.28,29.52,2,2,1,2,2.25,2,1,-0.45
2,5,52.86,35.91,2,2,1.75,2.8,2.75,1,1,-0.28
2,8,72.16,56.92,2,2,1.5,1.6,2.25,2,1,-0.41
2,7,64.99,59.69,1,2,2,1.6,1.25,2,2,0.04
2,3,64.77,49.44,1,1,1.25,1,1.5,1,1,-0.5
NA,5,72.09,64.44,3,2,1.75,3.6,4,1,1,-0.3
2,5,53.8,33.13,1,2,2,1.4,1.5,1,2,0.77
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-1.19
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1.03
2,6,57.99,25.26,1,3,1.75,1,1.75,2,1,-0.16
2,8,91.54,86.25,2,1,2,1,1,1,1,0.73
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,-0.29
2,7,55.37,51.63,2,2,2,1.2,2.75,2,1,-0.37
1,6,54.14,39.82,4,2,2,3.4,3,1,1,0.4
1,NA,33.9,16.45,3,2,1.75,1.6,1.75,1,1,0.62
2,6,74.23,68.71,2,2,2,1,1.25,1,1,-0.51
2,7,92.18,56.55,1,1,1.25,1,1.25,2,1,-0.52
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.31
2,NA,66.33,36.17,2,1,1.5,1.8,1.5,1,1,-0.2
NA,7,94.28,85.94,1,1,1,1,1,1,1,0.43
1,5,48.26,40.64,3,3,1,2,1.5,1,1,-0.44
2,3,88.94,55.05,2,2,1.5,1,1,2,1,-0.68
2,4,76.25,64.23,2,2,1,1,1,2,1,-0.57
2,3,66.44,44.06,3,4,2,2.6,2.5,1,1,-0.07
2,4,74.82,50.28,2,2,1.5,2,1,1,1,0.48
2,4,66.58,40.64,2,2,1,1,1.25,2,1,-0.38
2,1,40.59,31.48,3,3,2,1,1.5,2,NA,NA
2,3,74.29,48.11,3,2,1.5,2,1,2,1,1.14
2,6,59.69,51.26,2,2,1,1,1.25,1,1,-0.03
2,0,59.69,41.45,2,3,1.25,1.4,1.75,1,1,-0.66
2,4,67.24,63.05,1,1,1.5,1.4,1,2,1,-0.48
2,4,92.66,53.14,3,1,1.25,2.4,2.75,1,1,-0.36
2,4,52.69,35.69,2,2,3,NA,NA,2,1,0.23
-9,4,NA,NA,2,2,1.25,NA,NA,2,1,0.39
2,3,53.28,27.82,2,2,1.25,2.2,2,1,1,-0.28
2,8,90.76,55.42,2,1,1,1.2,1,2,1,0.36
2,3,69.88,47.99,3,2,1,2.2,1.67,1,1,-0.12
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-0.82
2,5,65.13,40.38,2,3,1,1,1.5,2,1,0.3
2,4,54.9,45.37,1,2,1.5,1.4,1.75,2,1,-0.38
2,3,105.95,70.14,2,1,1.25,1.4,1.25,1,1,0.22
2,4,76.42,51,2,2,1.5,1.4,2,2,1,1.09
2,0,77.1,39.55,2,2,1.5,2.8,2,1,1,-0.66
-9,6,NA,NA,1,1,1.5,NA,NA,1,1,0.9
NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,4,69.61,57.84,2,1,1.25,1,1.75,2,1,0.28
2,6,56,53.61,2,2,1.5,2,1.25,1,1,1.86
NA,7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,64.89,48.1,3,2,1.75,1.2,2.5,1,1,-0.86
2,3,NA,NA,2,2,2,NA,NA,1,NA,NA
2,7,102.84,53.2,2,2,1.5,2.2,1.67,1,1,0.1
-9,1,NA,NA,2,2,2.25,NA,NA,2,2,0.67
2,7,88.85,66.34,2,1,1.25,2,1.25,2,1,0.5
1,3,50.29,29.82,2,2,1.25,1.4,1.5,1,1,-0.37
2,3,71.84,48.12,3,3,1.25,1.8,1,1,1,0.03
-9,8,NA,NA,2,2,1.25,NA,NA,2,1,-0.5
NA,3,64.78,44.23,NA,NA,NA,1.5,1.75,1,2,-0.04
2,3,58.41,42.83,2,3,1.5,1,2,1,1,0.95
2,9,66.5,60.4,2,2,1.75,1.4,1,2,1,-0.32
2,7,65.65,67.93,2,2,1.5,1.2,1.25,1,1,0.5
2,9,67.96,51.56,NA,NA,NA,1,1,2,1,-0.42
-9,6,NA,NA,3,3,2,NA,NA,2,1,-0.02
2,9,65.78,97.07,2,1,1.25,1.2,1.25,1,1,0.3
2,6,104.03,73.55,1,1,1,1.6,1.25,2,1,0.53
2,7,76.49,73.18,2,1,1.25,1.2,2,2,1,-0.11
2,8,91.75,98.06,2,1,1,1.6,2.25,1,1,0.81
2,6,127,62.59,2,2,1.25,2,1.25,2,1,-0.46
2,5,52.42,59.57,3,3,1.75,3.6,2.75,1,1,0.5
2,3,84.71,65.94,2,2,1.25,1.6,1,2,1,-0.38
2,7,65.51,64.49,2,2,1,1.2,1,2,1,0.01
2,6,59.47,69.91,1,1,-9,1.2,1,2,NA,NA
2,NA,48.17,28.59,2,3,1.5,1,1,2,1,-0.67
