Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
0.0,6.0,78.22,56.66,3.0,3.0,2.0,1.4,1.75,2.0,1.0,0.12
0.0,4.0,75.8,44.55,2.0,2.0,2.0,2.4,2.0,1.0,1.0,-0.51
0.0,5.0,78.47,58.66,2.0,2.0,1.5,1.4,2.25,2.0,1.0,0.04
0.0,7.0,115.12,82.58,2.0,1.0,1.5,2.0,2.0,1.0,1.0,-0.08
0.0,6.0,83.3,45.08,1.0,1.0,1.5,1.2,1.5,2.0,1.0,0.27
0.0,4.0,38.32,33.13,2.0,2.0,1.0,1.6,1.25,1.0,1.0,-0.66
0.0,7.0,65.38,56.91,2.0,2.0,1.75,1.8,2.0,2.0,1.0,0.16
0.0,6.0,107.12,60.49,1.0,1.0,1.5,1.8,2.25,1.0,1.0,0.33
0.0,6.0,75.69,61.4,1.0,2.0,1.25,1.0,1.0,1.0,1.0,1.62
0.0,6.0,75.74,71.14,2.0,2.0,1.25,1.2,1.25,1.0,1.0,-0.27
0.0,2.0,65.43,45.81,2.0,2.0,1.0,1.2,1.0,2.0,1.0,-0.34
0.0,7.0,78.75,57.74,2.0,2.0,1.25,1.0,1.0,2.0,1.0,-0.46
0.0,2.0,70.6,52.61,2.0,2.0,2.0,2.4,1.25,1.0,2.0,-0.22
0.0,5.0,63.55,68.64,2.0,1.0,1.5,1.2,1.5,1.0,1.0,-0.23
0.0,4.0,56.72,42.28,2.0,4.0,2.0,1.8,2.0,1.0,1.0,-0.35
0.0,8.0,60.86,60.43,2.0,2.0,1.25,1.8,1.25,1.0,1.0,0.07
0.0,7.0,59.43,37.6,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.54
0.0,9.0,148.15,88.35,2.0,2.0,2.0,3.0,1.75,1.0,1.0,-0.07
0.0,9.0,64.79,67.33,2.0,2.0,1.25,2.4,1.25,2.0,1.0,-0.03
0.0,8.0,66.76,63.39,1.0,2.0,1.0,1.2,1.25,2.0,1.0,-0.19
0.0,7.0,146.28,74.38,1.0,2.0,1.25,1.2,1.0,2.0,1.0,0.79
1.0,4.0,48.32,35.05,2.0,2.0,2.0,1.4,2.0,2.0,1.0,-0.64
0.0,7.0,59.6,63.25,2.0,2.0,1.5,1.2,1.25,1.0,1.0,-0.1
0.0,7.0,62.32,86.4,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0
0.0,8.0,75.96,75.1,2.0,2.0,1.25,2.0,1.25,1.0,1.0,-0.42
0.0,6.0,63.63,44.42,1.0,2.0,1.5,1.4,1.25,2.0,1.0,-0.43
1.0,0.0,38.8,22.72,3.0,3.0,2.0,1.4,1.5,1.0,1.0,-0.75
0.0,8.0,51.33,38.99,1.0,2.0,1.75,2.0,1.25,1.0,1.0,-0.19
0.0,3.0,88.44,57.49,2.0,2.0,1.5,1.2,3.75,2.0,1.0,-0.12
0.0,4.0,77.87,57.6,2.0,2.0,2.0,1.0,2.25,1.0,1.0,0.11
0.0,8.0,106.02,69.9,2.0,1.0,1.25,1.2,1.0,2.0,1.0,-0.08
0.0,4.0,47.28,29.52,2.0,2.0,1.0,2.0,2.25,2.0,1.0,-0.45
0.0,5.0,52.86,35.91,2.0,2.0,1.75,2.8,2.75,1.0,1.0,-0.28
0.0,8.0,72.16,56.92,2.0,2.0,1.5,1.6,2.25,2.0,1.0,-0.41
0.0,7.0,64.99,59.69,1.0,2.0,2.0,1.6,1.25,2.0,2.0,0.04
0.0,3.0,64.77,49.44,1.0,1.0,1.25,1.0,1.5,1.0,1.0,-0.5
0.0,5.0,53.8,33.13,1.0,2.0,2.0,1.4,1.5,1.0,2.0,0.77
0.0,6.0,57.99,25.26,1.0,3.0,1.75,1.0,1.75,2.0,1.0,-0.16
0.0,8.0,91.54,86.25,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.73
0.0,7.0,55.37,51.63,2.0,2.0,2.0,1.2,2.75,2.0,1.0,-0.37
1.0,6.0,54.14,39.82,4.0,2.0,2.0,3.4,3.0,1.0,1.0,0.4
0.0,6.0,74.23,68.71,2.0,2.0,2.0,1.0,1.25,1.0,1.0,-0.51
0.0,7.0,92.18,56.55,1.0,1.0,1.25,1.0,1.25,2.0,1.0,-0.52
1.0,5.0,48.26,40.64,3.0,3.0,1.0,2.0,1.5,1.0,1.0,-0.44
0.0,3.0,88.94,55.05,2.0,2.0,1.5,1.0,1.0,2.0,1.0,-0.68
0.0,4.0,76.25,64.23,2.0,2.0,1.0,1.0,1.0,2.0,1.0,-0.57
0.0,3.0,66.44,44.06,3.0,4.0,2.0,2.6,2.5,1.0,1.0,-0.07
0.0,4.0,74.82,50.28,2.0,2.0,1.5,2.0,1.0,1.0,1.0,0.48
0.0,4.0,66.58,40.64,2.0,2.0,1.0,1.0,1.25,2.0,1.0,-0.38
0.0,3.0,74.29,48.11,3.0,2.0,1.5,2.0,1.0,2.0,1.0,1.14
0.0,6.0,59.69,51.26,2.0,2.0,1.0,1.0,1.25,1.0,1.0,-0.03
0.0,0.0,59.69,41.45,2.0,3.0,1.25,1.4,1.75,1.0,1.0,-0.66
0.0,4.0,67.24,63.05,1.0,1.0,1.5,1.4,1.0,2.0,1.0,-0.48
0.0,4.0,92.66,53.14,3.0,1.0,1.25,2.4,2.75,1.0,1.0,-0.36
0.0,3.0,53.28,27.82,2.0,2.0,1.25,2.2,2.0,1.0,1.0,-0.28
0.0,8.0,90.76,55.42,2.0,1.0,1.0,1.2,1.0,2.0,1.0,0.36
0.0,3.0,69.88,47.99,3.0,2.0,1.0,2.2,1.67,1.0,1.0,-0.12
0.0,5.0,65.13,40.38,2.0,3.0,1.0,1.0,1.5,2.0,1.0,0.3
0.0,4.0,54.9,45.37,1.0,2.0,1.5,1.4,1.75,2.0,1.0,-0.38
0.0,3.0,105.95,70.14,2.0,1.0,1.25,1.4,1.25,1.0,1.0,0.22
0.0,4.0,76.42,51.0,2.0,2.0,1.5,1.4,2.0,2.0,1.0,1.09
0.0,0.0,77.1,39.55,2.0,2.0,1.5,2.8,2.0,1.0,1.0,-0.66
0.0,4.0,69.61,57.84,2.0,1.0,1.25,1.0,1.75,2.0,1.0,0.28
0.0,6.0,56.0,53.61,2.0,2.0,1.5,2.0,1.25,1.0,1.0,1.86
0.0,2.0,64.89,48.1,3.0,2.0,1.75,1.2,2.5,1.0,1.0,-0.86
0.0,7.0,102.84,53.2,2.0,2.0,1.5,2.2,1.67,1.0,1.0,0.1
0.0,7.0,88.85,66.34,2.0,1.0,1.25,2.0,1.25,2.0,1.0,0.5
1.0,3.0,50.29,29.82,2.0,2.0,1.25,1.4,1.5,1.0,1.0,-0.37
0.0,3.0,71.84,48.12,3.0,3.0,1.25,1.8,1.0,1.0,1.0,0.03
